Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Uganda,Sub-Saharan Africa,4.636,7.677,0.781,56.101,0.709,0.122,0.855,45741000,44269594,0.548699975,16.39999962,0,0.815532804,9.143239021,0,0,0.239309862,42.75,,,,,
Liberia,Sub-Saharan Africa,4.625,7.288,0.72,56.498,0.735,0.05,0.85,5057677,4937374,1.64109993,19.20000076,0,0.934791863,9.398018837,0,0,0.272632748,35.27,,,,,
Kenya,Sub-Saharan Africa,4.607,8.361,0.688,60.704,0.779,0.287,0.825,53771300,52573973,3.105700016,20,0,0.781459451,9.11893177,0,0,0.331045657,40.78,,,,,
Tunisia,Middle East and North Africa,4.596,9.266,0.691,67.201,0.656,-0.201,0.87,11818618,11694719,39.56470108,32.70000076,0,3.017868757,9.118125916,0,0,0.12942259,32.82,,,,,
Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,6825442,6855713,21.50780106,31.10000038,0,1.891433835,8.95601368,0,0,0.106632769,31.83,,,,,
Namibia,Sub-Saharan Africa,4.574,9.161,0.818,56.799,0.719,-0.149,0.847,2540916,2494530,8.06799984,22,0,0.625211298,9.349452019,0,1,0.310684085,57.535,,,,,
Palestinian Territories,Middle East and North Africa,4.517,8.485,0.826,62.25,0.653,-0.163,0.821,5101416,4685306,27.44339943,20.39999962,0,2.111418247,8.974713326,0,0,0.164155677,33.69,,,,,
Myanmar,Southeast Asia,4.426,8.541,0.779,59.302,0.876,0.509,0.66,54409794,54045420,4.929299831,29.10000038,0,0.759283125,8.298598289,0,1,0.621467829,38.07,,,,,
Jordan,Middle East and North Africa,4.395,9.182,0.767,67,0.755,-0.167,0.705,10203140,10101694,37.5766983,23.20000076,0,1.894603372,8.960691452,0,0,0.465454936,33.1,,,,,
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,16425859,15946876,0.633099973,16.70000076,0,1.077292681,9.213471413,0,0,0.269270331,43.32,,,,,
Sri Lanka,South Asia,4.325,9.47,0.827,67.299,0.841,0.079,0.863,21413250,21670000,0.952700019,34.09999847,1,0.704990447,8.635091782,0,0,0.367544532,41.93666667,,,,,
Comoros,Sub-Saharan Africa,4.289,8.031,0.626,57.349,0.548,0.082,0.781,869595,850886,1.149999976,20.39999962,1,0.66275388,9.12801075,0,0,0.138619259,45.33,,,,,
Egypt,Middle East and North Africa,4.283,9.367,0.75,61.998,0.749,-0.182,0.795,102334403,100388073,7.45690012,25.29999924,0,1.626674771,9.006859779,0,0,0.445924312,31.56,,,,,
Ethiopia,Sub-Saharan Africa,4.275,7.694,0.764,59,0.752,0.082,0.761,114963583,112078730,1.672699928,19.79999924,0,0.915070117,9.047481537,0,1,0.396865219,33.4975,,,,,
